ds,yhat
2018-12-09,1483.258827191603
2018-12-10,1576.3144109984225
2018-12-11,1554.283297991149
2018-12-12,1560.0000598746826
2018-12-13,1621.6554055295694
2018-12-14,1689.2374607419506
2018-12-15,1652.4916308757663
2018-12-16,1565.7410950274611
2018-12-17,1674.8013573498833
2018-12-18,1668.280662755008
2018-12-19,1688.5728492942308
2018-12-20,1763.4460520182943
2018-12-21,1842.496420917613
2018-12-22,1815.119714836328
2018-12-23,1735.3424808822933
2018-12-24,1848.7459321686647
2018-12-25,1843.7740534420423
2018-12-26,1862.7322724290648
2018-12-27,1933.379927376512
2018-12-28,2005.3855647011917
2018-12-29,1968.2978596757937
2018-12-30,1876.3738627659616
2018-12-31,1975.4977403530024
2019-01-01,1954.4816569821053
2019-01-02,1956.0553135071534
2019-01-03,2008.4476026320099
2019-01-04,2061.8296953312242
2019-01-05,2006.272671797622
2019-01-06,1896.5617529008393
2019-01-07,1979.100677382824
2019-01-08,1943.1982613731702
2019-01-09,1932.0440463726884
2019-01-10,1974.276880579666
2019-01-11,2020.4161114486617
2019-01-12,1960.8088384633995
2019-01-13,1850.4355790127609
2019-01-14,1935.808142691025
2019-01-15,1906.2519468022408
2019-01-16,1904.8798157970264
2019-01-17,1960.1611824204524
2019-01-18,2022.3563753185872
2019-01-19,1981.4693823111054
2019-01-20,1892.061317060194
2019-01-21,2000.1581969344668
2019-01-22,1994.545019672751
2019-01-23,2017.7528850799008
2019-01-24,2097.64273942357
2019-01-25,2183.85505250224
2019-01-26,2165.7784170353602
2019-01-27,2097.378884395755
2019-01-28,2224.123227612975
2019-01-29,2234.287710370501
2019-01-30,2269.9587182843065
2019-01-31,2358.628469583114
2019-02-01,2449.654793700638
2019-02-02,2432.2376937566296
2019-02-03,2360.2542884110776
2019-02-04,2479.1851666032944
2019-02-05,2477.4236418859377
2019-02-06,2497.274238595776
2019-02-07,2566.5436716569275
2019-02-08,2634.9934208407444
2019-02-09,2592.3067925194578
2019-02-10,2492.912301596783
2019-02-11,2582.8966982519564
2019-02-12,2551.2994636230937
2019-02-13,2541.095481502839
2019-02-14,2580.769550259136
2019-02-15,2620.7522552301407
2019-02-16,2551.3705200705135
2019-02-17,2427.65509005663
2019-02-18,2496.238676226516
2019-02-19,2446.6369620911773
2019-02-20,2422.2195212320694
2019-02-21,2451.774606023515
2019-02-22,2485.937571015833
2019-02-23,2415.1364338188378
2019-02-24,2294.396947375453
2019-02-25,2370.2409670245647
2019-02-26,2331.9703011146075
2019-02-27,2322.6430136865442
2019-02-28,2370.6459952474975
2019-03-01,2426.1333606254616
2019-03-02,2378.9839175111592
2019-03-03,2283.619772710283
2019-03-04,2385.919513227606
2019-03-05,2374.5177745001597
2019-03-06,2391.7977675876946
2019-03-07,2465.48017478137
2019-03-08,2545.077566726204
2019-03-09,2519.8671899178985
2019-03-10,2443.723818009647
2019-03-11,2562.045761042955
2019-03-12,2563.065540995871
2019-03-13,2588.8515479880384
2019-03-14,2666.903881702448
2019-03-15,2746.6133834242964
2019-03-16,2717.2366201594546
2019-03-17,2632.7284886586003
2019-03-18,2738.665569481954
2019-03-19,2723.5518353649754
2019-03-20,2729.8131806681076
2019-03-21,2785.384180706511
2019-03-22,2840.15633639399
2019-03-23,2783.940854336083
2019-03-24,2671.2879494945864
2019-03-25,2748.3961417454257
2019-03-26,2704.4035045568485
2019-03-27,2682.367689981228
2019-03-28,2710.8384903830697
2019-03-29,2740.29252925808
2019-03-30,2661.08344513872
2019-03-31,2528.2498388992085
2019-04-01,2588.414701694467
2019-04-02,2531.068484870878
2019-04-03,2499.5427920846296
2019-04-04,2522.578560122984
2019-04-05,2550.75837532699
2019-04-06,2474.456292517397
2019-04-07,2348.6473792432275
2019-04-08,2419.8106072649284
2019-04-09,2377.217113220236
2019-04-10,2363.910630129426
2019-04-11,2408.283744236855
2019-04-12,2460.5193852079724
2019-04-13,2410.5506578971804
2019-04-14,2312.880967429123
2019-04-15,2413.497783570485
2019-04-16,2401.1717930143627
2019-04-17,2418.447977654826
2019-04-18,2493.232026203833
2019-04-19,2575.2412624708677
2019-04-20,2553.9730014580928
2019-04-21,2483.5321198783636
2019-04-22,2609.5510570842766
2019-04-23,2620.4939023476063
2019-04-24,2658.6510522129975
2019-04-25,2751.7278291701864
2019-04-26,2849.296265925339
2019-04-27,2840.763022270878
2019-04-28,2780.1953087991733
2019-04-29,2913.238148956305
2019-04-30,2928.414774211682
2019-05-01,2968.1167931493715
2019-05-02,3060.187695653178
2019-05-03,3154.3690736677067
2019-05-04,3140.262704458876
2019-05-05,3072.150545851685
2019-05-06,3195.9061414591224
2019-05-07,3200.2893838802866
2019-05-08,3227.9314125954556
2019-05-09,3306.913323091618
2019-05-10,3387.2081610286764
2019-05-11,3358.639414989495
2019-05-12,3275.6980994391574
2019-05-13,3384.4519426217826
2019-05-14,3373.8386195633907
2019-05-15,3386.64977623726
2019-05-16,3451.1094702447176
2019-05-17,3517.3164330857935
2019-05-18,3475.2032847086434
2019-05-19,3379.3546987577283
2019-05-20,3475.917933694738
2019-05-21,3453.8975681307065
2019-05-22,3456.1410862955554
2019-05-23,3510.9188443929406
2019-05-24,3568.367737284556
2019-05-25,3518.4516225838242
2019-05-26,3415.78044147153
2019-05-27,3506.5214087223408
2019-05-28,3479.6940852070634
2019-05-29,3478.155971905565
2019-05-30,3530.182167282897
2019-05-31,3585.9084357486745
2019-06-01,3535.290788217311
2019-06-02,3432.923571652391
2019-06-03,3524.9495086943507
2019-06-04,3500.3535773366143
2019-06-05,3501.947451234786
2019-06-06,3557.9481254471652
2019-06-07,3618.420156209155
2019-06-08,3573.234691182328
2019-06-09,3476.8873538023163
2019-06-10,3575.408478004826
2019-06-11,3557.6576244359762
2019-06-12,3566.3091238322395
2019-06-13,3629.432280056538
2019-06-14,3696.9356508500905
2019-06-15,3658.528553868713
2019-06-16,3568.5418149331254
2019-06-17,3672.8411914651138
2019-06-18,3660.125324043175
2019-06-19,3672.914871122381
2019-06-20,3739.1363590614096
2019-06-21,3808.57005871775
2019-06-22,3770.8149263755868
2019-06-23,3680.1125167964697
2019-06-24,3782.263196550672
2019-06-25,3765.9264137018295
2019-06-26,3773.6115933555757
2019-06-27,3833.2631201035915
2019-06-28,3894.7086645764325
2019-06-29,3847.6238570283476
2019-06-30,3746.355201631567
2019-07-01,3836.8345671626175
2019-07-02,3807.8770394998346
2019-07-03,3802.168756108852
2019-07-04,3847.848254348699
2019-07-05,3894.9506798811476
2019-07-06,3833.367962979203
2019-07-07,3717.666974098426
2019-07-08,3793.9991214304346
2019-07-09,3751.393308482293
2019-07-10,3732.7390060486014
2019-07-11,3766.3631020834528
2019-07-12,3802.4700008371988
2019-07-13,3731.0981936564117
2019-07-14,3606.935413326559
2019-07-15,3676.2259178973354
2019-07-16,3628.0618852871908
2019-07-17,3605.365714229912
2019-07-18,3636.4669127983957
2019-07-19,3671.5430394516534
2019-07-20,3600.577888500778
2019-07-21,3478.178978106228
2019-07-22,3550.4878112900356
2019-07-23,3506.474796338143
2019-07-24,3488.925510674172
2019-07-25,3526.0218647988977
2019-07-26,3567.787497307948
2019-07-27,3504.050453816674
2019-07-28,3389.26506809424
2019-07-29,3469.4263797077124
2019-07-30,3433.3688463756203
2019-07-31,3423.7559189966246
2019-08-01,3468.6639356784053
2019-08-02,3518.029584587126
2019-08-03,3461.613929052737
2019-08-04,3353.8248775937504
2019-08-05,3440.6314225953965
2019-08-06,3410.8614207593455
2019-08-07,3407.189523393731
2019-08-08,3457.7187769686707
2019-08-09,3512.4252299455075
2019-08-10,3461.1186448978856
2019-08-11,3358.2613202917937
2019-08-12,3449.878479572503
2019-08-13,3424.8521425480676
2019-08-14,3425.9052323410647
2019-08-15,3481.179582114129
2019-08-16,3540.677315179872
2019-08-17,3494.2188242896264
2019-08-18,3396.259466106976
2019-08-19,3492.798521079412
2019-08-20,3472.6724038800508
2019-08-21,3478.5389227748606
2019-08-22,3538.4562702403073
2019-08-23,3602.326208489221
2019-08-24,3559.854637527204
2019-08-25,3465.3715960123022
2019-08-26,3564.7441535023186
2019-08-27,3546.674064135134
2019-08-28,3553.686844755808
2019-08-29,3613.715808180315
2019-08-30,3676.5503518705905
2019-08-31,3631.801519473027
2019-09-01,3533.7267138474667
2019-09-02,3628.146852465285
2019-09-03,3603.7476768779698
2019-09-04,3603.0717355111187
2019-09-05,3654.104446167557
2019-09-06,3706.723438024788
2019-09-07,3650.6641176159656
2019-09-08,3540.3432949164744
2019-09-09,3621.7741504210403
2019-09-10,3583.864278516134
2019-09-11,3569.4033837153147
2019-09-12,3606.6441261936034
2019-09-13,3645.7454372709376
2019-09-14,3576.7313980693316
2019-09-15,3454.307690247804
2019-09-16,3524.769091909277
2019-09-17,3477.2899603034375
2019-09-18,3454.9044925058342
2019-09-19,3486.080477222834
2019-09-20,3521.156070814922
2019-09-21,3450.292892573069
2019-09-22,3328.2876331632997
2019-09-23,3401.4758117609404
2019-09-24,3359.019758109179
2019-09-25,3343.887712993794
2019-09-26,3384.427826648157
2019-09-27,3430.8066159593495
2019-09-28,3372.965163156527
2019-09-29,3265.4351969764944
2019-09-30,3354.2485991125723
2019-10-01,3328.232281608123
2019-10-02,3329.9951632964853
2019-10-03,3387.510828730561
2019-10-04,3450.565208784235
